paper_id,models,link,title,year
1001,HAFMRANK;FM;COLDROUTET;RMNL;EXPERT2VEC;LDA,https://ieeexplore.ieee.org/iel7/6287639/8948470/09001106.pdf,Hierarchical Attentional Factorization Machines for Expert Recommendation in Community Question Answering,2020
1002,BPRMF;NEUMF;NAIS;SEREC;TBPR;DIFFNET;GRAPHREC;SASREC;SRGNN;SPMC;ARSE;DGREC;USERTEMPORAL;USERSOCIAL;ITEMSIMILARITY;FUSEREC,http://sundaram.cs.illinois.edu/pubs/2021/2021_narang_fuserec.pdf,FuseRec: fusing user and item homophily modeling with temporal recommender systems,2021
1003,FPMC;POI2VEC;PRMEG;SASREC;LSTPM;SANS;SANT;SANST,https://arxiv.org/pdf/2001.10379,SANST: A Self-Attentive Network for Next Point-of-Interest Recommendation,2020
1004,FMC;FPMC;POPREC;CTA;SETS2SETS;DREAM;CEACON;FDSA;ANDA,https://arxiv.org/pdf/2109.11654,Modeling Dynamic Attributes for Next Basket Recommendation,2021
1005,FOSSIL;FPMC;BPRMF;VBPR;CIGAR,https://www.mdpi.com/2073-8994/12/6/873/htm,Learning Context-Aware Outfit Recommendation,2020
1006,PBRS;FPMC;PRME;GRU4REC;SWOWI;NCSF;SHAN;HATE;ATE;HTE,https://arxiv.org/pdf/2006.04530,Jointly Modeling Intra- and Inter-transaction Depend -encies with Hierarchical Attentive Transaction Embeddings for Next-item Recommendation,2020
1007,HGN;HAM;TPTCF;PTN;CPHCMH;HCFMH,https://www.sciencedirect.com/science/article/pii/S153204642030263X,Hybrid collaborative filtering methods for recommending search terms to clinicians,2021
1008,JOINTE;JOINTEN;FPMC;LSTM;MLP;STELLAR,http://splab.sdu.edu.cn/download/paper/FINAL-CIKM2019_lp0859.pdf,Exploring The Interaction Effects for Temporal Spatial Behavior Prediction,2019
1009,POP;SPOP;ITEMKNN;BPRMF;FPMC;GRU4REC;NARM;STAMP;SRGNN;PIAGNN,https://www.mdpi.com/1099-4300/23/11/1500/htm,Personal Interest Attention Graph Neural Networks for Session-Based Recommendation,2021
1010,BPRMF;FISM;FPMC;FOSSIL;SAS;TRN;U2CMS,https://ieeexplore.ieee.org/iel7/6287639/8948470/09207880.pdf,A Hybrid Recommender System for Sequential Recommendation: Combining Similarity Models With Markov Chains,2020
1011,CASER;SASREC;HGN;STAR;STARC;ANAM;CBS;TSTM;STSTM,https://arxiv.org/pdf/1912.07274,Seq2seq Translation Model for Sequential Recommendation,2020
1012,TOP;NMF;BPR;FPMC;FCSP;FSP,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0203191,CFSH: Factorizing sequential and historical purchase data for basket recommendation,2018
